InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536365,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,1/12/10 8:26,2.55,17850,United Kingdom
536366,22633,HAND WARMER UNION JACK,6,1/12/10 8:28,1.85,17850,United Kingdom
536367,84879,ASSORTED COLOUR BIRD ORNAMENT,32,1/12/10 8:34,1.69,13047,United Kingdom
536368,22960,JAM MAKING SET WITH JARS,6,1/12/10 8:34,4.25,13047,United Kingdom
536369,21756,BATH BUILDING BLOCK WORD,3,1/12/10 8:35,5.95,13047,United Kingdom
536370,22728,ALARM CLOCK BAKELIKE PINK,24,1/12/10 8:45,3.75,12583,France
536371,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,80,1/12/10 9:00,2.55,13748,United Kingdom
536372,22632,HAND WARMER RED POLKA DOT,6,1/12/10 9:01,1.85,17850,United Kingdom
536373,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,1/12/10 9:02,2.55,17850,United Kingdom
536374,21258,VICTORIAN SEWING BOX LARGE,32,1/12/10 9:09,10.95,15100,United Kingdom
536375,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,1/12/10 9:32,2.55,17850,United Kingdom
536376,22114,HOT WATER BOTTLE TEA AND SYMPATHY,48,1/12/10 9:32,3.45,15291,United Kingdom
536377,22632,HAND WARMER RED POLKA DOT,6,1/12/10 9:34,1.85,17850,United Kingdom
536378,22386,JUMBO BAG PINK POLKADOT,10,1/12/10 9:37,1.95,14688,United Kingdom
536380,22961,JAM MAKING SET PRINTED,24,1/12/10 9:41,1.45,17809,United Kingdom
536381,22139,RETROSPOT TEA SET CERAMIC 11 PC ,23,1/12/10 9:41,4.25,15311,United Kingdom
C536379,D,Discount,-1,1/12/10 9:41,27.5,14527,United Kingdom
536382,10002,INFLATABLE POLITICAL GLOBE ,12,1/12/10 9:45,0.85,16098,United Kingdom
C536383,35004C,SET OF 3 COLOURED  FLYING DUCKS,-1,1/12/10 9:49,4.65,15311,United Kingdom
536384,82484,WOOD BLACK BOARD ANT WHITE FINISH,3,1/12/10 9:53,6.45,18074,United Kingdom
536385,22783,SET 3 WICKER OVAL BASKETS W LIDS,1,1/12/10 9:56,19.95,17420,United Kingdom
536386,84880,WHITE WIRE EGG HOLDER,36,1/12/10 9:57,4.95,16029,United Kingdom
536387,79321,CHILLI LIGHTS,192,1/12/10 9:58,3.82,16029,United Kingdom
536388,21754,HOME BUILDING BLOCK WORD,3,1/12/10 9:59,5.95,16250,United Kingdom
536389,22941,CHRISTMAS LIGHTS 10 REINDEER,6,1/12/10 10:03,8.5,12431,Australia
536390,22941,CHRISTMAS LIGHTS 10 REINDEER,2,1/12/10 10:19,8.5,17511,United Kingdom
C536391,22556,PLASTERS IN TIN CIRCUS PARADE ,-12,1/12/10 10:24,1.65,17548,United Kingdom
536392,22150,3 STRIPEY MICE FELTCRAFT,6,1/12/10 10:29,1.95,13705,United Kingdom
536393,22180,RETROSPOT LAMP,8,1/12/10 10:37,9.95,13747,United Kingdom
536394,21506,"FANCY FONT BIRTHDAY CARD, ",24,1/12/10 10:39,0.42,13408,United Kingdom
